Couldn't import dot_parser, loading of dot files will not be possible.
nkerns =  [32 64 64 64] (4,)
validation set =  100000
... building the model
layer0_input =  (50, 1, 21, 21)
layer0 (filter)(pool)=  (32, 1, 4, 4) (2, 2)
output =  12
layer1 (filter)(pool) =  (64, 32, 3, 3) (1, 1)
output=  14
layer2 (filter)(pool) =  (64, 64, 3, 3) (2, 2)
output=  8
Hidden units:  64
Dropout ON
... training
--> train minibatch error =  0.52
-->  0 50 chunk_10_50000.pkl
--> train minibatch error =  0.3
-->  0 100 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 150 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 200 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 250 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 300 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 350 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 400 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 450 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 500 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 550 chunk_10_50000.pkl
--> train minibatch error =  0.6
-->  0 600 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 650 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 700 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 750 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 800 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 850 chunk_10_50000.pkl
--> train minibatch error =  0.6
-->  0 900 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 950 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 1000 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 1050 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 1100 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 1150 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 1200 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 1250 chunk_10_50000.pkl
--> train minibatch error =  0.62
-->  0 1300 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 1350 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 1400 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 1450 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 1500 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 1550 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 1600 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 1650 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 1700 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 1750 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 1800 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 1850 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 1900 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 1950 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 2000 chunk_10_50000.pkl
--> train minibatch error =  0.6
-->  0 2050 chunk_10_50000.pkl
--> train minibatch error =  0.5
-->  0 2100 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 2150 chunk_10_50000.pkl
--> train minibatch error =  0.74
-->  0 2200 chunk_10_50000.pkl
--> train minibatch error =  0.64
-->  0 2250 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 2300 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 2350 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 2400 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 2450 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 2500 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 2550 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 2600 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 2650 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 2700 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 2750 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 2800 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 2850 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 2900 chunk_10_50000.pkl
--> train minibatch error =  0.62
-->  0 2950 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 3000 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 3050 chunk_10_50000.pkl
--> train minibatch error =  0.64
-->  0 3100 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 3150 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 3200 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 3250 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 3300 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 3350 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 3400 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 3450 chunk_10_50000.pkl
--> train minibatch error =  0.54
-->  0 3500 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 3550 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 3600 chunk_10_50000.pkl
--> train minibatch error =  0.32
-->  0 3650 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 3700 chunk_10_50000.pkl
--> train minibatch error =  0.6
-->  0 3750 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 3800 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 3850 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 3900 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 3950 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 4000 chunk_10_50000.pkl
--> train minibatch error =  0.52
-->  0 4050 chunk_10_50000.pkl
--> train minibatch error =  0.44
-->  0 4100 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 4150 chunk_10_50000.pkl
--> train minibatch error =  0.76
-->  0 4200 chunk_10_50000.pkl
--> train minibatch error =  0.58
-->  0 4250 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 4300 chunk_10_50000.pkl
--> train minibatch error =  0.34
-->  0 4350 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 4400 chunk_10_50000.pkl
--> train minibatch error =  0.46
-->  0 4450 chunk_10_50000.pkl
--> train minibatch error =  0.42
-->  0 4500 chunk_10_50000.pkl
--> train minibatch error =  0.36
-->  0 4550 chunk_10_50000.pkl
--> train minibatch error =  0.4
-->  0 4600 chunk_10_50000.pkl
--> train minibatch error =  0.48
-->  0 4650 chunk_10_50000.pkl
--> train minibatch error =  0.38
-->  0 4700 chunk_10_50000.pkl
--> train minibatch error =  0.16
-->  0 4900 chunk_10_50000.pkl
--> train minibatch error =  0.56
-->  0 4950 chunk_10_50000.pkl
training @ iter =  100 , cost =  0.653206050396
--> train minibatch error =  0.48
-->  0 5000 chunk_10_50000.pkl
